상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
[4%적립금] 동원 저스트 노슈가 황도 2절 400g x 24캔(1박스),과일/옥수수/팥,통조림,간식/요리재료,52000,5.0,1,400,24,9600,54.17,3691119,https://www.dongwonmall.com/product/detail.do?productId=003691119,동원 저스트 노슈가 황도 2절,,,확인필요,,,캔,,False,False,True
[4%적립금] 동원 저스트 노슈가 후르츠칵테일 425gx48개(2박스),과일/옥수수/팥,통조림,간식/요리재료,95000,5.0,1,425,48,20400,46.57,3731589,https://www.dongwonmall.com/product/detail.do?productId=003731589,동원 저스트 노슈가 후르츠칵테일,,,확인필요,,,캔,,False,False,True
동원 하루미 국물의신 참치링 80g ( 20정),분말/액상조미료,조미료,조미료,6980,0.0,0,80,1,80,872.5,3808908,https://www.dongwonmall.com/product/detail.do?productId=003808908,동원 하루미 국물의신 참치링,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 하루미 국물의신 멸치링 80g (20정),분말/액상조미료,조미료,조미료,6980,0.0,0,80,1,80,872.5,3808907,https://www.dongwonmall.com/product/detail.do?productId=003808907,동원 하루미 국물의신 멸치링,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
[동원산업] 수산명가 동원 냉장 낙지젓갈 180g,젓갈,젓갈,반찬,13900,0.0,0,180,1,180,772.22,3792454,https://www.dongwonmall.com/product/detail.do?productId=003792454,수산명가 동원 냉장 낙지젓갈,수산가공/통조림,,해물,즉석,식재료,캔,,False,False,True
[냉동] 동원 MSC 짜먹는 간편명란 300g(30g x 10ea),젓갈,젓갈,반찬,12900,0.0,0,30,10,300,430.0,3686071,https://www.dongwonmall.com/product/detail.do?productId=003686071,동원 MSC 짜먹는 간편명란,냉동식품,,확인필요,냉동조리,,,,False,False,True
식자재 아울렛 동원홈푸드 파마산블렌드 227g,찹쌀가루/전분/기타가루,가루류,요리재료,7190,0.0,0,227,1,227,316.74,3607943,https://www.dongwonmall.com/product/detail.do?productId=003607943,식자재 아울렛 동원홈푸드 파마산블렌드,,,확인필요,,,,,False,False,True
동원 자연산골뱅이 매실청 140gx2캔,골뱅이/수산통조림,통조림,안주/반찬,7400,0.0,0,140,2,280,264.29,3698045,https://www.dongwonmall.com/product/detail.do?productId=003698045,동원 자연산골뱅이 매실청,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
[4%적립금] 동원 양반 보양 삼계탕 900g x 15개입 x 3박스,국/탕/찌개,즉석조리식품,간편식사,339000,0.0,0,900,45,40500,83.7,3686994,https://www.dongwonmall.com/product/detail.do?productId=003686994,동원 양반 보양 삼계탕 박스,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
[동원] 동원 참치뱃살 깊은간장맛 135gx3캔,참치/연어통조림,통조림,반찬/주재료,9900,0.0,0,135,3,405,244.44,3810465,https://www.dongwonmall.com/product/detail.do?productId=003810465,동원 참치뱃살 깊은간장맛,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 참치다시 300g,분말/액상조미료,조미료,조미료,6980,0.0,0,300,1,300,232.67,3747421,https://www.dongwonmall.com/product/detail.do?productId=003747421,동원 참치다시,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 프리미엄 동원참치액 500g,고춧가루/액젓,양념,조미료,11480,0.0,0,500,1,500,229.6,3672212,https://www.dongwonmall.com/product/detail.do?productId=003672212,동원 프리미엄 동원참치액,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 프리미엄 동원참치액 500gx3개,고춧가루/액젓,양념,조미료,34440,0.0,0,500,3,1500,229.6,3672454,https://www.dongwonmall.com/product/detail.do?productId=003672454,동원 프리미엄 동원참치액,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 화끈한 골뱅이 400gx2캔,골뱅이/수산통조림,통조림,안주/반찬,18200,0.0,0,400,2,800,227.5,3698147,https://www.dongwonmall.com/product/detail.do?productId=003698147,동원 화끈한 골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
양반 깍둑순살 갈비탕 700g,한식,즉석조리식품,메인요리,15900,0.0,0,700,1,700,227.14,3842798,https://www.dongwonmall.com/product/detail.do?productId=003842798,양반 깍둑순살 갈비탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
